"RowNb","Project","Sample","Lane1","Lane2","Lane3","Lane4","Total","PC.RawPF","PC.DemuxPF"
"58","4497","ABE230_TCR"," 13420140"," 13610207"," 13537296",NA," 40567643","0.3060","0.4290"
"59","4497","ABE231_TCR"," 15976093"," 16304424"," 16198552",NA," 48479069","0.3657","0.5127"
"60","4497","ABE232_TCR"," 11815993"," 12037993"," 11984549",NA," 35838535","0.2703","0.3790"
"61","4497","ABE233_TCR"," 12491529"," 12676602"," 12623189",NA," 37791320","0.2851","0.3997"
"62","4497","ABE234_TCR","  4547633","  4611781","  4597505","4497654"," 18254573","0.1377","0.1931"
"63","4497","ABE225_ADT"," 12946828"," 12469398"," 12497414",NA," 37913640","0.2860","0.4010"
"64","4497","ABE226_ADT"," 12870186"," 12358306"," 12382381",NA," 37610873","0.2837","0.3978"
"65","4497","ABE227_ADT"," 12413506"," 11959175"," 11975886",NA," 36348567","0.2742","0.3844"
"66","4497","ABE228_ADT"," 12173196"," 11767754"," 11791345",NA," 35732295","0.2695","0.3779"
"67","4497","ABE229_ADT"," 13275072"," 12794432"," 12812367",NA," 38881871","0.2933","0.4112"
"68","4497","ABE230_ADT"," 13716079"," 13137019"," 13117090",NA," 39970188","0.3015","0.4227"
"69","4497","ABE231_ADT"," 11894880"," 11411391"," 11420877",NA," 34727148","0.2620","0.3673"
"70","4497","ABE232_ADT"," 12296996"," 11822634"," 11742863",NA," 35862493","0.2705","0.3793"
"71","4497","ABE233_ADT"," 11905395"," 11485422"," 11499782",NA," 34890599","0.2632","0.3690"
"72","4497","ABE234_ADT"," 12008249"," 11576745"," 11594724",NA," 35179718","0.2654","0.3720"
